Order_ID,Customer_ID,Restaurant_ID,Rider_ID,Order_Date,Order_Time,City,Restaurant_Name,Cuisine,Order_Status,Payment_Method,Customer_Age,Gender,Distance_km,Delivery_Time_Min,Traffic_Level,Weather,Subtotal,Discount,Delivery_Fee,GST,Total_Amount,Profit,Customer_Rating,Review,Coupon_Code,Refund_Reason,Items_Count,Payment_Status,Peak_Hour,Weekend,Platform,Restaurant_Rating,Rider_Rating,Preparation_Time,Delivery_Type,Customer_Segment,Festival,Complaint_Type,Tip,Order_Time_Raw,Order_Month,Order_Day,Weekday,Hour,Time_Slot,Average_Order_Value,Profit_Margin_%,Delivery_Delay_Min,Delivery_Delay_Category,Revenue_Bucket,Customer_Age_Group
ORD00001,CUST2408,REST155,RID1428,2025-06-15,12:25:00,Navi Mumbai,Restaurant 9,South Indian,Delivered,UPI,53,Female,1.8,51,Low,Clear,275.62,41.34,20,11.71,265.99,65.06,5.0,Good,WELCOME50,,1,Paid,Yes,Yes,Android,4.1,5.0,11,Standard,Regular,No,,50,12:25,Jun,15,Sunday,12,Afternoon,265.99,24.46,40,High Delay,Low Revenue,51+
ORD00002,CUST2028,REST172,RID1061,2025-03-02,17:35:00,Navi Mumbai,Restaurant 80,South Indian,Delivered,Cash,52,Female,11.9,44,High,Cloudy,418.56,62.78,30,17.79,403.57,82.42,,,FOOD10,,2,Paid,No,Yes,iOS,4.5,4.1,28,Express,Premium,No,,20,17:35,Mar,2,Sunday,17,Evening,201.785,20.42,16,High Delay,Low Revenue,51+
ORD00003,CUST2271,REST197,RID1571,2025-08-18,17:38:00,Navi Mumbai,Restaurant 74,Desserts,Refunded,Debit Card,39,Female,9.3,52,Medium,Clear,335.85,33.59,30,15.11,347.37,95.87,3.0,Poor,WELCOME50,Wrong Item,4,Refunded,No,No,iOS,3.6,4.7,19,Express,Regular,No,Quality,20,17:38,Aug,18,Monday,17,Evening,86.8425,27.6,33,High Delay,Low Revenue,36-50
ORD00004,CUST7519,REST150,RID1938,2025-01-12,22:22:00,Navi Mumbai,Restaurant 64,North Indian,Delivered,Credit Card,46,Female,8.7,71,Low,Cloudy,334.57,0.0,30,16.73,381.3,106.61,3.0,Good,,,6,Paid,No,Yes,Android,4.0,4.9,40,Standard,New,No,,10,22:22,Jan,12,Sunday,22,Night,63.550000000000004,27.96,31,High Delay,Low Revenue,36-50
ORD00005,CUST6220,REST116,RID1707,2025-04-29,15:00:00,Mumbai,Restaurant 66,Burger,Delivered,UPI,47,Female,6.6,40,Low,Cloudy,957.64,47.88,40,45.49,995.25,243.98,1.0,Average,FOOD10,,2,Paid,No,No,Android,3.8,4.0,20,Standard,New,Yes,,10,15:00,Apr,29,Tuesday,15,Afternoon,497.625,24.51,20,High Delay,High Revenue,36-50
ORD00006,CUST6966,REST160,RID1125,2025-10-02,11:23:00,Pune,Restaurant 15,Desserts,Delivered,Cash,47,Female,7.8,20,Low,Clear,272.82,0.0,50,13.64,336.46,88.3,3.0,Average,,,4,Paid,No,No,iOS,3.7,3.8,40,Express,New,No,,0,11:23,Oct,2,Thursday,11,Morning,84.115,26.24,-20,On Time,Low Revenue,36-50
ORD00007,CUST9873,REST199,RID1514,2025-09-28,17:41:00,Pune,Restaurant 43,Biryani,Delivered,Credit Card,57,Male,12.3,67,Medium,Rain,1098.98,54.95,40,52.2,1136.23,307.35,2.0,Good,FOOD10,,5,Paid,No,Yes,Android,4.5,5.0,35,Express,Regular,No,,50,17:41,Sep,28,Sunday,17,Evening,227.246,27.05,32,High Delay,High Revenue,51+
ORD00008,CUST4222,REST143,RID1209,2025-06-26,22:51:00,Pune,Restaurant 62,Burger,Cancelled,Wallet,18,Female,13.7,37,High,Clear,1484.21,74.21,20,70.5,1500.5,412.93,,,SAVE100,,1,Paid,No,No,iOS,4.6,4.7,25,Standard,Regular,No,Wrong Item,0,22:51,Jun,26,Thursday,22,Night,1500.5,27.52,12,Slight Delay,Top Revenue,18-25
ORD00009,CUST8624,REST183,RID1149,2025-07-22,22:25:00,Pune,Restaurant 79,Desserts,Delivered,Wallet,48,Female,3.2,50,Low,Clear,292.09,0.0,30,14.6,336.69,51.22,,,,,6,Paid,No,No,iOS,4.2,4.9,23,Standard,New,Yes,,10,22:25,Jul,22,Tuesday,22,Night,56.115,15.21,27,High Delay,Low Revenue,36-50
ORD00010,CUST9466,REST153,RID1846,2025-05-30,15:48:00,Mumbai,Restaurant 65,South Indian,Delivered,Wallet,27,Male,13.2,64,Low,Rain,522.36,52.24,30,23.51,523.63,78.85,2.0,Average,SAVE100,,2,Paid,No,No,Android,4.4,3.9,11,Express,Premium,No,,50,15:48,May,30,Friday,15,Afternoon,261.815,15.06,53,High Delay,Low Revenue,26-35
